,Date,AMZN,AMZN,AMZN,AMZN,AMZN,AMZN,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL
,,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume
4105,2018-04-24,76.79000091552734,76.9749984741211,72.42250061035156,73.00450134277344,73.00450134277344,149894000,41.41749954223633,41.58250045776367,40.30500030517578,40.73500061035156,38.89282989501953,134768000
4106,2018-04-25,72.9000015258789,73.49949645996094,70.7509994506836,73.00849914550781,73.00849914550781,131746000,40.654998779296875,41.35499954223633,40.602500915527344,40.912498474121094,39.06230163574219,113528400
4107,2018-04-26,74.25050354003906,76.47100067138672,73.92500305175781,75.89800262451172,75.89800262451172,176022000,41.029998779296875,41.432498931884766,40.842498779296875,41.05500030517578,39.198360443115234,111852000
4108,2018-04-27,81.70050048828125,81.90499877929688,78.36949920654297,78.63099670410156,78.63099670410156,261064000,41.0,41.08250045776367,40.157501220703125,40.58000183105469,38.74483871459961,142623200
4109,2018-04-30,79.125,79.80000305175781,78.0469970703125,78.30650329589844,78.30650329589844,109282000,40.532501220703125,41.814998626708984,40.459999084472656,41.314998626708984,39.44659423828125,169709600
4110,2018-05-01,78.16100311279297,79.25,77.60900115966797,79.11299896240234,79.11299896240234,91442000,41.602500915527344,42.29999923706055,41.317501068115234,42.275001525878906,40.36317825317383,214277600
4111,2018-05-02,79.04900360107422,79.42500305175781,78.31800079345703,78.48400115966797,78.48400115966797,87206000,43.807498931884766,44.4375,43.45000076293945,44.14250183105469,42.14622497558594,266157600
4112,2018-05-03,78.00050354003906,78.73999786376953,77.3010025024414,78.60399627685547,78.60399627685547,85038000,43.970001220703125,44.375,43.61000061035156,44.22249984741211,42.22261428833008,136272800
4113,2018-05-04,78.12249755859375,79.24500274658203,78.1094970703125,79.04750061035156,79.04750061035156,68872000,44.5625,46.0625,44.54249954223633,45.95750045776367,43.879150390625,224805200
4114,2018-05-07,79.46700286865234,80.34750366210938,79.3915023803711,80.00700378417969,80.00700378417969,76038000,46.29499816894531,46.91749954223633,46.1875,46.290000915527344,44.19661331176758,169805600
4115,2018-05-08,79.75,79.84400177001953,79.12550354003906,79.61949920654297,79.61949920654297,61358000,46.247501373291016,46.55500030517578,45.91749954223633,46.51250076293945,44.40904998779297,113611200
4116,2018-05-09,80.0,80.4000015258789,79.5999984741211,80.4000015258789,80.4000015258789,72746000,46.63750076293945,46.849998474121094,46.30500030517578,46.84000015258789,44.721736907958984,92844800
4117,2018-05-10,80.42400360107422,80.77999877929688,80.1719970703125,80.4540023803711,80.4540023803711,56350000,46.935001373291016,47.592498779296875,46.912498474121094,47.5099983215332,45.3614387512207,111957200
4118,2018-05-11,80.54949951171875,80.55500030517578,79.89450073242188,80.14550018310547,80.14550018310547,45278000,47.372501373291016,47.51499938964844,46.86249923706055,47.147499084472656,45.18891525268555,104848800
4119,2018-05-14,80.19999694824219,80.55899810791016,80.00250244140625,80.0770034790039,80.0770034790039,50190000,47.252498626708984,47.38249969482422,46.96500015258789,47.037498474121094,45.0834846496582,83115200
4120,2018-05-15,79.38999938964844,79.38999938964844,78.26100158691406,78.80599975585938,78.80599975585938,101550000,46.69499969482422,46.76750183105469,46.275001525878906,46.61000061035156,44.67374801635742,94780800
4121,2018-05-16,78.875,79.72149658203125,78.83350372314453,79.36399841308594,79.36399841308594,51412000,46.51750183105469,47.1150016784668,46.5,47.04499816894531,45.09066390991211,76732400
4122,2018-05-17,79.02799987792969,79.7020034790039,78.6500015258789,79.08799743652344,79.08799743652344,42952000,47.0,47.227500915527344,46.59000015258789,46.747501373291016,44.8055305480957,69176000
4123,2018-05-18,79.06649780273438,79.17949676513672,78.6050033569336,78.71849822998047,78.71849822998047,52852000,46.79750061035156,46.95249938964844,46.532501220703125,46.57749938964844,44.6425895690918,73190800
4124,2018-05-21,79.25,79.60250091552734,78.75,79.27300262451172,79.27300262451172,58504000,47.0,47.317501068115234,46.727500915527344,46.907501220703125,44.958885192871094,73603200
4125,2018-05-22,79.49449920654297,79.49449920654297,78.76249694824219,79.06999969482422,79.06999969482422,42312000,47.095001220703125,47.220001220703125,46.69499969482422,46.790000915527344,44.84627151489258,60962800
4126,2018-05-23,78.55249786376953,80.09300231933594,78.31700134277344,80.09300231933594,80.09300231933594,67238000,46.587501525878906,47.125,46.439998626708984,47.09000015258789,45.13380432128906,80233600
4127,2018-05-24,79.90149688720703,80.41200256347656,79.41899871826172,80.15350341796875,80.15350341796875,68600000,47.192501068115234,47.209999084472656,46.5525016784668,47.037498474121094,45.0834846496582,92936000
4128,2018-05-25,80.1500015258789,80.70600128173828,80.02249908447266,80.50749969482422,80.50749969482422,53968000,47.057498931884766,47.412498474121094,46.912498474121094,47.14500045776367,45.186527252197266,69844000
4129,2018-05-29,80.0354995727539,81.0895004272461,80.00749969482422,80.64350128173828,80.64350128173828,76930000,46.900001525878906,47.1875,46.717498779296875,46.974998474121094,45.023582458496094,90056400
4130,2018-05-30,80.90499877929688,81.30000305175781,80.64649963378906,81.24449920654297,81.24449920654297,58148000,46.93000030517578,47.0,46.69499969482422,46.875,44.927738189697266,74762000
4131,2018-05-31,81.1500015258789,81.75,81.06749725341797,81.48100280761719,81.48100280761719,63326000,46.80500030517578,47.057498931884766,46.53499984741211,46.717498779296875,44.77677917480469,109931200
4132,2018-06-01,81.85150146484375,82.33650207519531,81.75450134277344,82.0770034790039,82.0770034790039,66268000,46.997501373291016,47.564998626708984,46.9375,47.560001373291016,45.58428192138672,93770000
4133,2018-06-04,82.44499969482422,83.28399658203125,82.27449798583984,83.26349639892578,83.26349639892578,63754000,47.90999984741211,48.35499954223633,47.837501525878906,47.95750045776367,45.96525955200195,105064800
4134,2018-06-05,83.64949798583984,84.94999694824219,83.50299835205078,84.81749725341797,84.81749725341797,95644000,48.26750183105469,48.48500061035156,48.09000015258789,48.32749938964844,46.31989288330078,86264000
4135,2018-06-06,85.22550201416016,85.7249984741211,84.32350158691406,84.7874984741211,84.7874984741211,109464000,48.407501220703125,48.52000045776367,47.97999954223633,48.494998931884766,46.48044204711914,83734400
4136,2018-06-07,84.9280014038086,84.99500274658203,83.80549621582031,84.46499633789062,84.46499633789062,75314000,48.53499984741211,48.54999923706055,48.084999084472656,48.3650016784668,46.3558464050293,85388800
4137,2018-06-08,84.05599975585938,84.47200012207031,83.65049743652344,84.19950103759766,84.19950103759766,59102000,47.79249954223633,48.0,47.442501068115234,47.92499923706055,45.93412399291992,106627200
