date,open,high,low,close,adjclose,volume
9/27/2019,55.13499832,55.24000168,54.31999969,54.70500183,53.43283081,101408000
9/30/2019,55.22499847,56.14500046,55.19749832,55.99250031,54.69040298,103909600
10/1/2019,56.26750183,57.05500031,56.04999924,56.14749908,54.84179306,139223200
10/2/2019,55.76499939,55.89500046,54.48249817,54.74000168,53.46703339,138449200
10/3/2019,54.60749817,55.24000168,53.78250122,55.20500183,53.92120743,114426000
10/4/2019,56.40999985,56.87250137,55.97249985,56.75249863,55.43272018,138478800
10/7/2019,56.56750107,57.48249817,56.45999908,56.76499939,55.44493866,122306000
10/8/2019,56.45500183,57.01499939,56.08250046,56.09999847,54.79539871,111820000
10/9/2019,56.75749969,56.94749832,56.40999985,56.75749969,55.43760681,74770400
10/10/2019,56.98249817,57.61000061,56.82500076,57.52249908,56.18481445,113013600
10/11/2019,58.23749924,59.40999985,58.07749939,59.05250168,57.67924118,166795600
10/15/2019,59.09749985,59.41249847,58.72000122,58.83000183,57.46191406,87360000
10/16/2019,58.34249878,58.81000137,58.29999924,58.59249878,57.22993469,73903200
10/17/2019,58.77249908,59.03749847,58.38000107,58.81999969,57.45214844,67585200
10/18/2019,58.64749908,59.39500046,58.57249832,59.10250092,57.72808456,97433600
10/21/2019,59.38000107,60.24750137,59.33000183,60.12749863,58.72924042,87247200
10/22/2019,60.29000092,60.54999924,59.90499878,59.99000168,58.59493256,82293600
10/23/2019,60.52500153,60.81000137,60.30500031,60.79499817,59.38121796,75828800
10/24/2019,61.12749863,61.20000076,60.45249939,60.89500046,59.47889328,69275200
10/25/2019,60.79000092,61.68249893,60.72000122,61.64500046,60.21145248,73477200
10/28/2019,61.85499954,62.3125,61.68000031,62.26250076,60.81459808,96572800
10/29/2019,62.24250031,62.4375,60.64250183,60.82249832,59.40808105,142839600
10/30/2019,61.18999863,61.32500076,60.30250168,60.81499863,59.40074539,124522000
10/31/2019,61.81000137,62.29249954,59.31499863,62.18999863,60.74377441,139162000
11/1/2019,62.38499832,63.98249817,62.29000092,63.95500183,62.46773529,151125200
11/4/2019,64.33249664,64.46250153,63.84500122,64.375,62.87796783,103272000
11/5/2019,64.26249695,64.54750061,64.08000183,64.28250122,62.78762054,79897600
11/6/2019,64.19249725,64.37249756,63.84249878,64.30999756,62.81446838,75864400
11/7/2019,64.68499756,65.08750153,64.52749634,64.85749817,63.53943634,94940400
11/8/2019,64.67250061,65.11000061,64.21250153,65.03500366,63.71333313,69986400
11/12/2019,65.38749695,65.69750214,65.23000336,65.48999786,64.15908051,87388800
11/13/2019,65.28250122,66.19499969,65.26750183,66.11750031,64.77383423,102734400
11/14/2019,65.9375,66.22000122,65.52500153,65.66000366,64.32562256,89182800
11/15/2019,65.91999817,66.44499969,65.75250244,66.44000244,65.08977509,100206400
11/18/2019,66.44999695,66.85749817,66.05750275,66.77500153,65.41797638,86703200
11/19/2019,66.97499847,67,66.34750366,66.57250214,65.21958923,76167200
11/20/2019,66.38500214,66.51999664,65.09999847,65.79750061,64.46033478,106234400
11/21/2019,65.92250061,66.00250244,65.29499817,65.50250244,64.17132568,121395200
11/22/2019,65.64749908,65.79499817,65.20999908,65.44499969,64.11499786,65325200
11/25/2019,65.67749786,66.61000061,65.62999725,66.59249878,65.23916626,84020400
11/26/2019,66.73500061,66.79000092,65.625,66.07250214,64.72974396,105207600
11/27/2019,66.39499664,66.99500275,66.32749939,66.95999908,65.59921265,65235600
11/29/2019,66.65000153,67,66.47499847,66.8125,65.45470428,46617600
